"enriched gene sets - Cu NPs" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_ALKALOID" 0.00239164815787809 "HMOX1, EDN1, PLAU, IL6"
"GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS" 0.000361260512564556 "HMOX1, EDN1, PLAU, EGR1, PLK3"
"GO_RESPONSE_TO_BACTERIUM" 6.61846106939802e-08 "CCL20, CXCL2, CXCL3, EDN1, IL23A, PLAU, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, CXCL1"
"GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION" 7.044003050481e-07 "CCL20, CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY" 8.47850093633984e-06 "CCL20, CXCL2, CXCL3, CXCL5, CXCL1"
"GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION" 0.00947209123942267 "IL23A, IL6, CSF3, SPINK1"
"GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE" 0.0001099611206441 "MT1G, CCL20, CXCL2, CXCL3, EDN1, PLAU, IL6, CSF3, FOS, IL1A, CD86, TNFAIP3, CXCL5, EGR1, DDIT3, TESC, CXCL1, BIRC3"
"GO_RESPONSE_TO_OXYGEN_LEVELS" 0.0019288453235044 "HMOX1, EDN1, PLAU, PLAT, EGR1, PLK3"
"GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" 4.00957905949216e-06 "CCL20, CXCL2, CXCL3, HMOX1, IL23A, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, TESC, CXCL1, BIRC3"
"GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00053463760276895 "CCL20, GADD45B, EDN1, DUSP5, IL23A, CYR61, AREG, IL6, CSF3, IL1A, DUSP6, XDH"
"GO_CELL_PROLIFERATION" 7.31996100399771e-05 "HMOX1, IL23A, UCHL1, CYR61, AREG, IL6, EMP1, IL1A, CD86, EGR1, CXCL1"
"GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT" 1.52527917521162e-06 "DKK1, HMOX1, EDN1, IL23A, PLAU, CYR61, IL6, CSF3, FOS, IL1A, CD86, TNFAIP3, MAFF, EGR1, DDIT3, TESC, PHLDA2, IFRD1, DUSP6, XDH"
"GO_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING" 0.00243365764984067 "HMOX1, IL23A, IL1A, TNFAIP3, BIRC3"
"GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" 0.000169600801422296 "CCL20, HMOX1, EDN1, IL23A, PLAU, CYR61, IL6, CSF3, FOS, IL1A, CD86, TNFAIP3, EGR1, DDIT3, TESC"
"GO_REGULATION_OF_RESPONSE_TO_WOUNDING" 0.00133603450261832 "EDN1, IL23A, PLAU, IL6, PLAT, TNFAIP3, BIRC3"
"GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00338879346085184 "HMOX1, G0S2, IL1A, TNFAIP3"
"GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" 0.00981110952951109 "CCL20, CXCL2, CXCL3, EDN1, AREG, RASD1, CXCL5, CXCL1"
"GO_LOCALIZATION_OF_CELL" 0.00133208925286269 "CCL20, CXCL2, CXCL3, EDN1, PLAU, CYR61, IL6, PLAT, CXCL5, CXCL1"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 8.14843739072329e-06 "DKK1, GADD45B, EDN1, DUSP5, UCHL1, IL6, SPINK1, TNFAIP3, TESC, DUSP6, XDH"
"GO_REGULATION_OF_RESPONSE_TO_STRESS" 0.00318289782634862 "GADD45B, EDN1, IL23A, UCHL1, PLAU, IL6, PLAT, IL1A, CD86, TNFAIP3, DDIT3, BIRC3, XDH"
"GO_REGULATION_OF_CELL_DIFFERENTIATION" 0.000244688305671461 "DKK1, EDN1, IL23A, CYR61, AREG, IL6, CSF3, FOS, CD86, MAFF, DDIT3, TESC, IFRD1, DUSP6, XDH"
"GO_RESPONSE_TO_INTERLEUKIN_1" 0.00115166931701892 "CCL20, EDN1, IL6, EGR1"
"GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS" 0.0029167772109881 "EDN1, PLAU, IL6, XDH"
"GO_REGULATION_OF_PEPTIDASE_ACTIVITY" 0.00431456428053412 "CYR61, IL6, SPINK1, TFPI2, BIRC3, XDH"
"GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" 0.00045673484523183 "CCL20, CXCL2, CXCL3, HMOX1, IL23A, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, TESC, CXCL1, BIRC3"
"GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION" 0.000165672313959568 "DKK1, GADD45B, HMOX1, DUSP5, UCHL1, IL6, SPINK1, TFPI2, TNFAIP3, DDIT3, TESC, BIRC3, DUSP6"
"GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY" 0.000513675772937057 "GADD45B, DUSP5, UCHL1, IL6, TNFAIP3, TESC, DUSP6"
"GO_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS" 1.57475038141555e-05 "CXCL2, CXCL3, IL23A, CXCL1"
"GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND" 7.20715324920565e-07 "DKK1, CCL20, CXCL2, CXCL3, HMOX1, EDN1, PLAU, AREG, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, EGR1, DDIT3, TESC, PLK3, CXCL1"
"GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS" 0.000381714099355909 "EDN1, PLAU, IL6, XDH"
"GO_INFLAMMATORY_RESPONSE" 2.47322194608211e-06 "CCL20, CXCL2, CXCL3, HMOX1, IL23A, IL6, FOS, IL1A, TNFAIP3, CXCL5, CXCL1"
"GO_LOCOMOTION" 0.00296324181892914 "CCL20, CXCL2, CXCL3, EDN1, PLAU, CYR61, IL6, PLAT, CD86, CXCL5, CXCL1"
"GO_POSITIVE_REGULATION_OF_CELL_DEATH" 0.00967701625615068 "GADD45B, G0S2, CYR61, IL6, DDIT3, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION" 0.000229914017875814 "IL23A, CSF3, FOS, TESC"
"GO_NEGATIVE_REGULATION_OF_CELL_DEATH" 0.00181830786725772 "HMOX1, EDN1, DHRS2, CYR61, IL6, CSF3, IL1A, TNFAIP3, PLK3, BIRC3"
"GO_GROWTH" 0.00529201654732198 "EDN1, PLAU, AREG, IL6, EMP1, IFRD1"
"GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY" 0.00111783396593163 "GADD45B, DUSP5, UCHL1, IL6, SPINK1, TFPI2, TNFAIP3, TESC, BIRC3, DUSP6"
"GO_MOVEMENT_OF_CELL_OR_SUBCELLULAR_COMPONENT" 0.00768916235471922 "CCL20, CXCL2, CXCL3, EDN1, UCHL1, PLAU, CYR61, IL6, PLAT, CXCL5, CXCL1"
"GO_RESPONSE_TO_LIPID" 3.85614322915249e-07 "DKK1, CCL20, CXCL2, CXCL3, HMOX1, EDN1, PLAU, AREG, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, TESC, CXCL1"
"GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 9.56135573391208e-05 "CCL20, GADD45B, HMOX1, EDN1, DUSP5, IL23A, CYR61, IL6, CSF3, IL1A, CD86, TNFAIP3, PLK3, BIRC3, DUSP6, XDH"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 5.20621277119261e-13 "MT1G, MT1H, MT1M, MT1F, MT1E, MT1B, MT1A"
"GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS" 5.89707517214848e-06 "CCL20, CXCL2, CXCL3, EDN1, IL6, CSF3, IL1A, CD86, CXCL5, EGR1, CXCL1, BIRC3"
"GO_RESPONSE_TO_ABIOTIC_STIMULUS" 0.00607107339116072 "HSPA6, HMOX1, EDN1, PLAU, IL6, FOS, PLAT, IL1A, EGR1, PLK3"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 8.5782628536005e-11 "MT1G, MT1H, MT1M, MT1F, MT1E, HMOX1, EDN1, FOS, CD86, MT1B, MT1A"
"GO_MULTI_MULTICELLULAR_ORGANISM_PROCESS" 0.00923418819835844 "EDN1, PLAU, FOS, MAFF"
"GO_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS" 5.60118367997398e-05 "CCL20, HMOX1, IL6, IL1A, CD86"
"GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 3.19363900898164e-05 "CCL20, GADD45B, HMOX1, EDN1, DUSP5, IL23A, IL6, CSF3, IL1A, DDIT3, BIRC3, DUSP6, XDH"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 7.6398121618252e-06 "MT1G, MT1H, MT1M, MT1F, MT1E, MT1B, MT1A, IFRD1"
"GO_RESPONSE_TO_TEMPERATURE_STIMULUS" 0.000367924561928081 "HSPA6, HMOX1, IL6, FOS, IL1A"
"GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION" 0.000644931098218657 "HMOX1, EDN1, IL6, TNFAIP3"
"GO_IMMUNE_RESPONSE" 0.0001443185966961 "CCL20, CXCL2, CXCL3, EDN1, IL23A, IL6, CSF3, IL1A, CD86, CXCL5, EGR1, CXCL1, APOBEC3B"
"GO_RESPONSE_TO_DRUG" 0.00844796125815509 "EDN1, IL6, FOS, CD86, DDIT3, DUSP6"
"GO_RESPONSE_TO_GROWTH_FACTOR" 0.00338879346085184 "MT1G, EDN1, PLAU, IL6, FOS, EGR1, DUSP6"
"GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS" 4.04330315931026e-06 "CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" 0.000745799091593372 "CCL20, HMOX1, IL23A, IL6, IL1A, CD86, DDIT3"
"GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.00111783396593163 "CCL20, GADD45B, EDN1, DUSP5, IL23A, CYR61, IL6, CSF3, IL1A, BIRC3, DUSP6, XDH"
"GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS" 0.0056545879283355 "DKK1, HMOX1, EDN1, PLAU, IL6, IL1A, TNFAIP3, IFRD1, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS" 0.000100586878153221 "CCL20, HMOX1, IL1A, CD86"
"GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY" 0.00941116802296099 "CYR61, IL6, BIRC3, XDH"
"GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS" 0.00364367365595146 "HMOX1, IL23A, IL6, CD86"
"GO_REGULATION_OF_CELL_DEATH" 8.96401689772818e-05 "GADD45B, HMOX1, EDN1, DHRS2, G0S2, CYR61, IL6, CSF3, IL1A, TNFAIP3, EGR1, DDIT3, PLK3, BIRC3, DUSP6, XDH"
"GO_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING" 0.00133208925286269 "IL6, CSF3, DDIT3, XDH"
"GO_REGULATION_OF_MAP_KINASE_ACTIVITY" 0.00914285989514589 "GADD45B, EDN1, DUSP5, UCHL1, DUSP6"
"GO_REGULATION_OF_CHEMOTAXIS" 0.00011414575960985 "CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS" 0.000399005235726622 "DKK1, HMOX1, EDN1, DUSP5, UCHL1, PLAU, SPINK1, PLAT, IL1A, TNFAIP3, EGR1, DDIT3, DUSP6, XDH"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION" 7.9219958225732e-06 "DKK1, GADD45B, DUSP5, UCHL1, IL6, SPINK1, TNFAIP3, TESC, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER" 0.00511992469513553 "EDN1, IL23A, CYR61, IL6, CSF3, FOS, IL1A, MAFF, EGR1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 3.8013501740926e-05 "DKK1, GADD45B, EDN1, DUSP5, UCHL1, IL6, SPINK1, PLAT, TFPI2, TNFAIP3, TESC, BIRC3, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS" 0.000302500200039383 "DKK1, HMOX1, EDN1, IL23A, CYR61, IL6, CSF3, FOS, IL1A, CD86, TNFAIP3, EGR1, TESC"
"GO_RESPONSE_TO_BIOTIC_STIMULUS" 7.044003050481e-07 "CCL20, CXCL2, CXCL3, EDN1, IL23A, PLAU, IL6, CSF3, FOS, CD86, TNFAIP3, CXCL5, DDIT3, CXCL1, APOBEC3B"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 2.2106252477891e-08 "MT1G, MT1H, MT1M, MT1F, MT1E, HMOX1, IL1A, MT1B, MT1A"
"GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 2.72057736226e-05 "DKK1, CCL20, GADD45B, EDN1, DUSP5, IL23A, UCHL1, CYR61, IL6, CSF3, SPINK1, IL1A, TNFAIP3, EGR1, TESC, BIRC3, DUSP6, XDH"
"GO_MYELOID_CELL_DIFFERENTIATION" 0.0067810406831858 "MT1G, DHRS2, CSF3, CD86"
"GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT" 3.98222836845211e-05 "CCL20, CXCL2, CXCL3, HMOX1, EDN1, IL23A, PLAU, CYR61, IL6, CXCL5, PHLDA2, CXCL1"
"GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS" 0.00699295260847818 "HMOX1, IL23A, IL6, CD86, TNFAIP3, BIRC3"
"GO_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING" 0.00547734143863755 "HMOX1, IL23A, IL1A, BIRC3"
"GO_RESPONSE_TO_CADMIUM_ION" 2.25489113865019e-08 "MT1G, MT1H, MT1F, MT1E, HMOX1, MT1A"
"GO_RESPONSE_TO_CYTOKINE" 5.67556824367299e-06 "CCL20, CXCL2, CXCL3, EDN1, IL6, CSF3, FOS, IL1A, CD86, CXCL5, EGR1, CXCL1, BIRC3"
"GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION" 0.00408129682589969 "DKK1, EDN1, IL23A, CYR61, IL6, CSF3, FOS, CD86, TESC"
"GO_CELLULAR_RESPONSE_TO_STRESS" 0.00403393381572543 "HSPA6, HMOX1, EDN1, DHRS2, PLAU, IL6, FOS, UPP1, IL1A, TNFAIP3, EGR1, DDIT3, PLK3"
"GO_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS" 8.14843739072329e-06 "DKK1, GADD45B, EDN1, DUSP5, UCHL1, IL6, SPINK1, TNFAIP3, TESC, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_CHEMOTAXIS" 1.4604404420459e-05 "CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION" 0.00848357306616349 "HMOX1, IL23A, IL6, TNFAIP3"
"GO_REGULATION_OF_PROTEOLYSIS" 0.00607107339116072 "CYR61, IL6, SPINK1, PLAT, TFPI2, PLK3, BIRC3, XDH"
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING" 0.00323212781738778 "EDN1, PLAU, PLAT, TNFAIP3"
"GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" 9.56135573391208e-05 "DKK1, HMOX1, EDN1, IL23A, PLAU, AREG, IL6, PLAT, CD86, TNFAIP3, DDIT3, IFRD1, XDH"
"GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS" 1.9203222177625e-06 "CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_REGULATION_OF_NEUTROPHIL_MIGRATION" 6.99230505594226e-06 "CXCL2, CXCL3, IL23A, CXCL1"
"GO_RESPONSE_TO_OXIDATIVE_STRESS" 1.59431607810938e-05 "HMOX1, EDN1, DHRS2, AREG, IL6, FOS, TNFAIP3, DDIT3, PLK3"
"GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 6.03118292823938e-05 "DKK1, CCL20, GADD45B, EDN1, DUSP5, IL23A, UCHL1, CYR61, AREG, IL6, CSF3, SPINK1, IL1A, TNFAIP3, TESC, DUSP6, XDH"
"GO_REGULATION_OF_CELL_PROLIFERATION" 5.316488308342e-08 "CXCL2, CXCL3, HMOX1, EDN1, IL23A, DHRS2, PLAU, CYR61, AREG, IL6, CSF3, EGR4, IL1A, CD86, TNFAIP3, CXCL5, EGR1, TESC, OVOL1, CXCL1, XDH"
