"enriched gene sets - Cu ions" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_METAL_ION" 0.000155794339173907 "HMOX1, FOS, MT1X, SLC30A1, MT1F, DUSP1, MT1G, FOSB"
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 0.00373540613216332 "HSPA1A, HSPH1, DUSP5, DUSP1, RGS2, DDIT3, ZC3H12A"
"GO_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY" 0.00648258688793045 "HSPA1A, DNAJB1, TRIB3, PPP1R15A, GADD45B, HSPH1, DUSP5, GCLM, RGS2, PMAIP1, DNAJB6, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_TRANSPORT" 0.00444580143682999 "HMOX1, HSPA1A, SLC30A1, IL11, CRYAB, ZC3H12A, YRDC"
"GO_APOPTOTIC_SIGNALING_PATHWAY" 0.00255706156322361 "HMOX1, TRIB3, PPP1R15A, BAG3, PMAIP1, DDIT3"
"GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00666462713967528 "HMOX1, HSPA1A, GCLM, PMAIP1"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.000100010337155484 "TRIB3, PPP1R15A, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, GADD45A"
"GO_REGULATION_OF_RESPONSE_TO_STRESS" 4.55413237947661e-05 "HSPA1A, DNAJB1, PPP1R15A, SESN2, MAP1LC3B, GADD45B, BAG3, CRYAB, HSPH1, CHORDC1, PMAIP1, DDIT3, DNAJB6, ZC3H12A, HSPA1L, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION" 2.01472267865995e-05 "HMOX1, TRIB3, PPP1R15A, GADD45B, CRYAB, DUSP5, DUSP1, CHORDC1, RGS2, DDIT3, DNAJB6, ZC3H12A, SERPINB8, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY" 0.00103704354158991 "TRIB3, GADD45B, DUSP5, DUSP1, CHORDC1, RGS2, GADD45A"
"GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.000155794339173907 "HMOX1, FOS, PPP1R15A, MAP1LC3B, GABARAPL1, PMAIP1, DDIT3, ZC3H12A, KLF10"
"GO_PROTEIN_FOLDING" 7.961735652562e-07 "HSPA6, HSPA1A, DNAJB1, BAG3, CRYAB, HSPH1, CHORDC1, DNAJB6, HSPA1L"
"GO_NEGATIVE_REGULATION_OF_CELL_DEATH" 0.000970310003001897 "HMOX1, HSPA1A, PPP1R15A, IL11, BAG3, CRYAB, HSPH1, GCLM, DUSP1, DNAJB6, ZC3H12A"
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.000720827023644293 "HMOX1, TRIB3, PPP1R15A, PMAIP1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY" 0.000574862924299318 "TRIB3, PPP1R15A, GADD45B, CRYAB, DUSP5, DUSP1, CHORDC1, RGS2, DNAJB6, SERPINB8, GADD45A"
"GO_RESPONSE_TO_ABIOTIC_STIMULUS" 0.00402285253674574 "HSPA6, HMOX1, HSPA1A, FOS, PPP1R15A, BAG3, CRYAB, DUSP1, PMAIP1, FOSB, GADD45A"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 0.000100010337155484 "HMOX1, FOS, MT1X, MT1F, MT1G, FOSB"
"GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 0.00442992684102567 "HMOX1, HSPA1A, IL11, GADD45B, DUSP5, PMAIP1, DDIT3, ZC3H12A, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 0.00552120530098038 "MT1X, CRYAB, MT1F, MT1G, IFRD1"
"GO_RESPONSE_TO_TEMPERATURE_STIMULUS" 0.00552120530098038 "HSPA6, HMOX1, HSPA1A, FOS"
"GO_CELLULAR_RESPONSE_TO_STARVATION" 1.8749105267089e-05 "PPP1R15A, MAP1LC3B, GABARAPL1, PMAIP1, ZC3H12A, KLF10"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS" 3.86322294070212e-08 "HSPA1A, DNAJB1, PPP1R15A, MAP1LC3B, GADD45B, BAG3, CRYAB, HSPH1, CHORDC1, PMAIP1, DDIT3, DNAJB6, ZC3H12A, HSPA1L, GADD45A, SPAG9"
"GO_REGULATION_OF_CELL_DEATH" 0.000601272260481436 "HMOX1, HSPA1A, PPP1R15A, IL11, GADD45B, BAG3, CRYAB, HSPH1, GCLM, DUSP1, PMAIP1, DDIT3, DNAJB6, ZC3H12A, GADD45A"
"GO_REGULATION_OF_MAP_KINASE_ACTIVITY" 0.000720827023644293 "TRIB3, GADD45B, DUSP5, DUSP1, RGS2, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION" 1.8749105267089e-05 "TRIB3, PPP1R15A, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, GADD45A"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 7.76108993877239e-05 "HSPA1A, TRIB3, PPP1R15A, GADD45B, CRYAB, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, DNAJB6, ZC3H12A, SERPINB8, GADD45A"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 8.88808343149919e-05 "HMOX1, MT1X, SLC30A1, PPP1R15A, MT1F, MT1G"
"GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.00230639451397887 "HSPA1A, TRIB3, PPP1R15A, SESN2, IL11, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, SERTAD1, GADD45A, SPAG9"
"GO_PROTEIN_REFOLDING" 2.66319223403888e-06 "HSPA6, HSPA1A, DNAJB1, HSPA1L"
"GO_REGULATION_OF_P38MAPK_CASCADE" 6.5051393838697e-06 "GADD45B, HSPH1, ZC3H12A, GADD45A"
"GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY" 4.37768426238125e-05 "TRIB3, SESN2, GADD45B, DUSP5, DUSP1, CHORDC1, RGS2, SERTAD1, GADD45A, SPAG9"
"GO_RESPONSE_TO_CADMIUM_ION" 2.07772738775234e-06 "HMOX1, MT1X, SLC30A1, MT1F, MT1G"
"GO_CELLULAR_RESPONSE_TO_STRESS" 0.000801599534184161 "HSPA6, HMOX1, HSPA1A, FOS, TRIB3, PPP1R15A, MAP1LC3B, CRYAB, GABARAPL1, PMAIP1, DDIT3, ZC3H12A, KLF10, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS" 0.000100010337155484 "TRIB3, PPP1R15A, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, GADD45A"
"GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.0051310074549709 "HSPA1A, HSPH1, PMAIP1, DDIT3"
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS" 1.8749105267089e-05 "TRIB3, PPP1R15A, PMAIP1, DDIT3"
"GO_RESPONSE_TO_OXIDATIVE_STRESS" 3.72007084892189e-05 "HMOX1, HSPA1A, FOS, SRXN1, CRYAB, GCLM, DUSP1, DDIT3, ZC3H12A"
"GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00442992684102567 "TRIB3, PPP1R15A, SESN2, IL11, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, SERTAD1, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 4.56854542054188e-05 "HSPA1A, TRIB3, PPP1R15A, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, ZC3H12A, GADD45A"
"GO_RESPONSE_TO_STARVATION" 8.50246074921041e-06 "PPP1R15A, MAP1LC3B, GABARAPL1, PMAIP1, DDIT3, ZC3H12A, KLF10"
"GO_RESPONSE_TO_PURINE_CONTAINING_COMPOUND" 0.00861365407141459 "FOS, PPP1R15A, DUSP1, FOSB"
"GO_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION" 0.00305334211312673 "HMOX1, HSPA1A, SLC30A1, PPP1R15A, IL11, HSPH1, DUSP5, GCLM, DUSP1, RGS2, DDIT3, ZC3H12A"
"GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN" 0.000120695118077582 "HSPA6, DNAJB1, PPP1R15A, HSPH1, DDIT3, HSPA1L"
"GO_RESPONSE_TO_HYDROGEN_PEROXIDE" 0.00207816355742766 "HMOX1, CRYAB, DUSP1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT" 0.00442992684102567 "HMOX1, HSPA1A, CRYAB, ZC3H12A"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY" 0.00373596726094451 "DUSP5, DUSP1, CHORDC1, RGS2"
"GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY" 0.00711741052942045 "HMOX1, HSPA1A, HSPH1, GCLM, PMAIP1, DDIT3"
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES" 0.00255380010392724 "HMOX1, FOS, CRYAB, DUSP1, DDIT3"
