"enriched gene sets - Au ions" "p value" "genes of the top 50 in the gene set"
"GO_HOMEOSTATIC_PROCESS" 0.000245005411476203 "HMOX1, TXNRD1, HSPA1A, CCL5, FTH1, MAFG, CCL3, SLC30A1, MT2A, CCR7, ATP6V0A1, CXCR3, GCLC, HIST1H4A, DEDD2"
"GO_TELOMERE_ORGANIZATION" 0.00114818876730509 "HSPA1A, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS" 0.00900170661639127 "HMOX1, CCL5, CCL3, TSC22D3, PPP1R15A, HIST1H3D, GCLC, HIST1H4A, HIST1H3J, TNF, ELK3, DEDD2"
"GO_REGULATION_OF_LEUKOCYTE_MIGRATION" 0.000101036841252464 "HMOX1, CCL5, CCL3, CCR7, CXCR3, TNF"
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION" 0.00516500819383372 "SQSTM1, HSPA1A, CCL5, HSPA1B, MAFG, CCL3, PPP1R15A, FOS, CXCR3, HIST1H3D, HIST1H4A, HIST1H3J, TNF, ELK3"
"GO_REGULATION_OF_GROWTH" 0.00457802143959703 "MT1X, SQSTM1, MT1E, MT1G, MT2A, CPNE5, MT1F, TNF"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 1.205300205576e-05 "HMOX1, MT1X, MT1E, MT1G, NQO1, SLC30A1, MT2A, CCR7, PPP1R15A, FOS, MT1F"
"GO_LEUKOCYTE_CHEMOTAXIS" 0.00175040615315154 "CCL5, CCL3, CCR7, CXCR3"
"GO_RESPONSE_TO_METAL_ION" 0.000197738968951497 "HMOX1, MT1X, MT1E, MT1G, SLC30A1, MT2A, FOS, MT1F"
"GO_PROTEIN_OLIGOMERIZATION" 0.00900170661639127 "HMOX1, SQSTM1, CCL5, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY" 0.00432413515465106 "HIST1H2BN, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" 0.00199010122397209 "SQSTM1, CCL5, CCL3, CCR7, CXCR3, TNF"
"GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 6.72024471039919e-07 "HMOX1, GCLM, HSPA1A, HSPA1B, GCLC, TMBIM1, TNF"
"GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION" 0.00114818876730509 "CCL5, CCL3, FOS, HIST1H4A, TNF"
"GO_LEUKOCYTE_MIGRATION" 0.00114818876730509 "SLC7A11, CCL5, CCL3, CCR7, CXCR3, TNF"
"GO_REGULATION_OF_HEMOPOIESIS" 0.00878231765628112 "CCL5, CCL3, FOS, HIST1H4A, TNF"
"GO_REGULATION_OF_HOMEOSTATIC_PROCESS" 0.000196978490547075 "GCLM, CCL5, CCL3, SLC30A1, TSC22D3, CCR7, CXCR3, GCLC, TNF"
"GO_PROTEIN_COMPLEX_BIOGENESIS" 0.00900170661639127 "HMOX1, SQSTM1, CCL5, HIST1H2BN, ATP6V0A1, HIST1H3D, HIST1H4A, HIST1H3J, TNF, LPXN"
"GO_RESPONSE_TO_ALKALOID" 0.000546773601893337 "HMOX1, SLC7A11, CCL5, PPP1R15A, TNF"
"GO_TRANSITION_METAL_ION_HOMEOSTASIS" 0.00126421758817442 "HMOX1, FTH1, SLC30A1, MT2A"
"GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION" 0.00151765332517099 "CCL5, CCL3, CCR7, TNF"
"GO_APOPTOTIC_SIGNALING_PATHWAY" 0.000405972623077645 "HMOX1, PPP1R15A, SRGN, BAG3, TNF, CHAC1, DEDD2"
"GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY" 0.000319739178767255 "CCL5, CCL3, CCR7, CXCR3"
"GO_MAINTENANCE_OF_LOCATION" 0.00248091291080876 "FTH1, SRGN, ABHD4, TNF"
"GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM" 0.00982262923872718 "SQSTM1, CCL5, CCL3, TNF"
"GO_REGULATION_OF_NEURON_APOPTOTIC_PROCESS" 0.00167386481497655 "HMOX1, GCLM, NQO1, CCL3, GCLC"
"GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 7.09903881196443e-07 "HMOX1, GCLM, HSPA1A, HSPA1B, GCLC, TMBIM1, TNF, DEDD2"
"GO_DETOXIFICATION" 0.00037145466870486 "SRXN1, TXNRD1, NQO1, SLC30A1"
"GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" 0.000843713797306171 "HMOX1, HSPA1A, CCL5, HSPA1B, CCL3, TSC22D3, CCR7, FOS, CXCR3, HIST1H3D, HIST1H4A, HIST1H3J, TNF, LPXN"
"GO_REGULATION_OF_ION_HOMEOSTASIS" 0.000415723826961427 "GCLM, CCL3, SLC30A1, CCR7, CXCR3, GCLC"
"GO_INFLAMMATORY_RESPONSE" 0.00302349704400667 "HMOX1, CCL5, CCL3, CCR7, FOS, CXCR3, TNF"
"GO_NEGATIVE_REGULATION_OF_SECRETION" 0.00900170661639127 "HMOX1, SLC30A1, SRGN, TNF"
"GO_REGULATION_OF_CYTOKINE_SECRETION" 0.00346993481575074 "CCL3, CCR7, SRGN, TNF"
"GO_POSITIVE_REGULATION_OF_CELL_DEATH" 0.00390153308167545 "SQSTM1, CCL5, NQO1, CCL3, PPP1R15A, CXCR3, TNF, DEDD2"
"GO_NEGATIVE_REGULATION_OF_CELL_DEATH" 1.21483733229467e-05 "HMOX1, SQSTM1, GCLM, HSPA1A, CCL5, HSPA1B, TSC22D3, CCR7, PPP1R15A, CXCR3, GCLC, BAG3, TMBIM1, TNF"
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00385105741138273 "HMOX1, PPP1R15A, TNF, CHAC1"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 1.89200253721834e-08 "MT1X, MT1E, MT1G, MT2A, MT1F"
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_WOUNDING" 0.00528304116380095 "CCL5, CCL3, CCR7, TNF"
"GO_RESPONSE_TO_ABIOTIC_STIMULUS" 0.0025599970688382 "HMOX1, HSPA1A, CCL5, HSPA1B, TSC22D3, PPP1R15A, DNAJB4, FOS, GCLC, BAG3, TNF"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 1.205300205576e-05 "HMOX1, MT1X, MT1E, MT1G, MT2A, FOS, MT1F"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 0.00015828621172545 "MT1X, SQSTM1, MT1E, MT1G, MT2A, MT1F, TNF"
"GO_RESPONSE_TO_TEMPERATURE_STIMULUS" 0.000101036841252464 "HMOX1, HSPA1A, HSPA1B, DNAJB4, FOS, GCLC"
"GO_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY" 5.58989351933029e-05 "HMOX1, GCLM, HSPA1A, HSPA1B, GCLC, TMBIM1, TNF"
"GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" 0.00488351332130439 "HMOX1, HSPA1A, HSPA1B, CCL3, CCR7, TNF"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS" 0.00760628735214389 "SQSTM1, HSPA1A, HSPA1B, CCR7, PPP1R15A, ATP6V0A1, BAG3, TNF"
"GO_REGULATION_OF_NEURON_DEATH" 0.00103218833031837 "HMOX1, GCLM, CCL5, NQO1, CCL3, GCLC"
"GO_REGULATION_OF_CELL_DEATH" 5.86252479679348e-05 "HMOX1, SQSTM1, GCLM, HSPA1A, CCL5, HSPA1B, NQO1, CCL3, TSC22D3, CCR7, PPP1R15A, CXCR3, GCLC, BAG3, TMBIM1, TNF, DEDD2"
"GO_REGULATION_OF_CHEMOTAXIS" 0.00754034368975561 "CCL5, CCL3, CCR7, CXCR3"
"GO_ION_HOMEOSTASIS" 0.000243205931499684 "HMOX1, CCL5, FTH1, MAFG, CCL3, SLC30A1, MT2A, CCR7, ATP6V0A1, CXCR3"
"GO_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE" 0.00539126619332353 "CCL5, CCL3, CCR7, TNF"
"GO_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION" 0.00107488516369776 "CCL5, CCL3, FOS, TNF"
"GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS" 0.00346993481575074 "SQSTM1, CCL5, CCL3, TNF"
"GO_LYMPHOCYTE_MIGRATION" 0.000101036841252464 "CCL5, CCL3, CCR7, CXCR3"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 6.75363058628585e-07 "HMOX1, MT1X, MT1E, MT1G, SLC30A1, MT2A, PPP1R15A, MT1F"
"GO_RESPONSE_TO_TOXIC_SUBSTANCE" 1.5032559153011e-06 "SRXN1, SLC7A11, TXNRD1, CCL5, NQO1, CCL3, SLC30A1, PPP1R15A, FOS"
"GO_CELLULAR_CHEMICAL_HOMEOSTASIS" 0.000222342806668699 "HMOX1, CCL5, FTH1, MAFG, CCL3, SLC30A1, MT2A, CCR7, ATP6V0A1, CXCR3"
"GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS" 0.00044043895020863 "HMOX1, FTH1, SLC30A1, MT2A"
"GO_MYELOID_CELL_DIFFERENTIATION" 0.00845767162133614 "PIR, MT1G, CCR7, TNF"
"GO_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" 0.00483105411598896 "HMOX1, CCL3, TSC22D3, HIST1H4A, TNF, LPXN"
"GO_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" 0.00322352168886849 "HSPA1A, CCL5, HSPA1B, TNF"
"GO_RESPONSE_TO_CADMIUM_ION" 6.42582773067835e-08 "HMOX1, MT1X, MT1E, MT1G, SLC30A1, MT1F"
"GO_RESPONSE_TO_CYTOKINE" 0.00913647281354123 "MT1X, CCL5, CCL3, MT2A, CCR7, FOS, CXCR3, TNF"
"GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE" 0.00164060847172312 "CCL5, CCL3, CCR7, TNF"
"GO_POSITIVE_REGULATION_OF_CHEMOTAXIS" 0.00207233690100866 "CCL5, CCL3, CCR7, CXCR3"
"GO_CELLULAR_HOMEOSTASIS" 5.22308982423043e-06 "HMOX1, TXNRD1, CCL5, FTH1, MAFG, CCL3, SLC30A1, MT2A, CCR7, ATP6V0A1, CXCR3, GCLC, DEDD2"
"GO_PROTEIN_TETRAMERIZATION" 0.00302594948443243 "CCL5, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_DNA_PACKAGING" 0.00539126619332353 "HIST1H2BN, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_NEGATIVE_REGULATION_OF_NEURON_DEATH" 0.00601913591055349 "HMOX1, GCLM, CCL5, GCLC"
"GO_RESPONSE_TO_OXIDATIVE_STRESS" 6.42582773067835e-08 "HMOX1, SRXN1, SLC7A11, TXNRD1, GCLM, HSPA1A, CCL5, HSPA1B, NQO1, CCR7, FOS, GCLC"
"GO_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION" 0.00199010122397209 "HMOX1, GCLM, HSPA1A, CCL5, HSPA1B, SLC30A1, PPP1R15A, GCLC, TMBIM1, TNF, CHAC1, LPXN"
"GO_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS" 0.000287396303222146 "HMOX1, HSPA1A, CCL5, HSPA1B, NQO1, FOS"
"GO_PROTEIN_COMPLEX_ASSEMBLY" 0.00900170661639127 "HMOX1, SQSTM1, CCL5, HIST1H2BN, ATP6V0A1, HIST1H3D, HIST1H4A, HIST1H3J, TNF, LPXN"
"GO_PROTEIN_HETEROOLIGOMERIZATION" 0.00150217634979539 "SQSTM1, HIST1H3D, HIST1H4A, HIST1H3J"
"GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY" 0.000281285894435023 "HMOX1, GCLM, HSPA1A, HSPA1B, GCLC, TMBIM1, TNF, DEDD2"
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES" 0.00167386481497655 "HMOX1, TXNRD1, NQO1, CCR7, FOS"
