"enriched gene sets - Ag NPs" "p value" "genes of the top 50 in the gene set"
"GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS" 0.000399594473795592 "HMOX1, HSPA1A, FOS, PPP1R15A, EGR1, HSPA1B, CTGF, JUN, ADM, FHL2, FOSL1, CYR61, ITGA2, FOSB, IL11, ANXA1, SQSTM1"
"GO_CELL_ACTIVATION" 0.00325170707397542 "MT1G, EGR1, JUN, SLC7A11, ULBP2, CLCF1, IL11, ANXA1"
"GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS" 0.00398451791689601 "HSPA1A, HSPA1B, CTGF, JUN, FOSL1, DNAJB1, CYR61, RGS2, MYADM"
"GO_LEUKOCYTE_DIFFERENTIATION" 0.00228959529510618 "MT1G, EGR1, JUN, CLCF1, IL11, ANXA1"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT" 9.82748531606731e-07 "HSPA1A, CRYAB, HSPA1B, BAG3, DNAJB1, HSPB8"
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION" 0.00609961360190902 "HSPA1A, FOS, PPP1R15A, EGR1, HSPA1B, CTGF, JUN, FHL2, FOSL1, CYR61, ITGA2, FOSB, IL11, SQSTM1"
"GO_REGULATION_OF_GROWTH" 7.07410183082378e-05 "MT1X, MT1H, MT2A, MT1F, MT1G, MT1E, CRYAB, CTGF, CYR61, OSGIN1, SQSTM1"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 1.94983124178347e-11 "MT1X, MT1H, MT2A, MT1F, MT1G, HMOX1, MT1E, CRYAB, FOS, PPP1R15A, DUSP1, JUN, SLC30A1, FOSL1, FOSB, ANXA1, SLC30A2"
"GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION" 0.000450313975026206 "HMOX1, EGR1, CTGF, JUN, ADM, FOSL1, CYR61, ITGA2, CLCF1, IL11, ANXA1"
"GO_RESPONSE_TO_METAL_ION" 8.5204224733948e-10 "MT1X, MT1H, MT2A, MT1F, MT1G, HMOX1, MT1E, FOS, DUSP1, JUN, SLC30A1, FOSB, SLC30A2"
"GO_AGING" 0.00117007229248681 "CRYAB, FOS, PPP1R15A, CTGF, JUN, ADM"
"GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00112374358022948 "HMOX1, HSPA1A, GCLM, HSPA1B"
"GO_RESPONSE_TO_ENDOGENOUS_STIMULUS" 0.000581004317078853 "HMOX1, CRYAB, FOS, PPP1R15A, DUSP1, EGR1, CTGF, JUN, ADM, FHL2, FOSL1, SLC7A11, ITGA2, FOSB, ANXA1"
"GO_RESPONSE_TO_ALKALOID" 0.00395354083241073 "HMOX1, PPP1R15A, SLC7A11, FOSB"
"GO_APOPTOTIC_SIGNALING_PATHWAY" 0.00967878867396376 "HMOX1, PPP1R15A, BAG3, JUN, DEDD2"
"GO_RESPONSE_TO_KETONE" 0.00968491270931248 "FOS, DUSP1, FOSL1, FOSB"
"GO_RESPONSE_TO_OXYGEN_LEVELS" 0.000583711258940005 "HMOX1, CRYAB, PPP1R15A, EGR1, CTGF, ADM, ITGA2"
"GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00967878867396376 "PPP1R15A, CTGF, JUN, ADM, GADD45B, CYR61, ITGA2, CLCF1, IL11, SQSTM1"
"GO_RESPONSE_TO_CAMP" 0.00015703226924251 "FOS, DUSP1, JUN, FOSL1, FOSB"
"GO_RESPONSE_TO_HORMONE" 8.4029083697057e-05 "HMOX1, CRYAB, FOS, DUSP1, EGR1, CTGF, JUN, ADM, FHL2, FOSL1, ITGA2, FOSB, ANXA1"
"GO_REGULATION_OF_NEURON_APOPTOTIC_PROCESS" 0.00202625740760319 "HMOX1, GCLM, JUN, CLCF1, G6PD"
"GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" 0.00306695187586106 "HMOX1, HSPA1A, FOS, EGR1, HSPA1B, CTGF, JUN, ADM, CYR61, ITGA2, CLCF1, ANXA1, RGS2"
"GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00073878527509544 "HMOX1, HSPA1A, GCLM, HSPA1B, DEDD2"
"GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND" 5.68440783574312e-07 "HMOX1, CRYAB, FOS, PPP1R15A, DUSP1, EGR1, CTGF, JUN, ADM, FHL2, FOSL1, SLC7A11, ITGA2, FOSB, ANXA1, G6PD"
"GO_REGULATION_OF_RESPONSE_TO_STRESS" 0.00504637733284451 "HSPA1A, CRYAB, PPP1R15A, HSPA1B, BAG3, CTGF, DNAJB1, GADD45B, ITGA2, MAP1LC3B, ANXA1, HSPB8, SQSTM1"
"GO_RESPONSE_TO_ESTROGEN" 0.000581004317078853 "HMOX1, CRYAB, DUSP1, CTGF, ITGA2, ANXA1"
"GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND" 0.000375344478007739 "HMOX1, CRYAB, FOS, PPP1R15A, DUSP1, EGR1, TXNRD1, CTGF, JUN, ADM, FOSL1, ITGA2, FOSB, ANXA1, G6PD"
"GO_RESPONSE_TO_RADIATION" 0.00203581290159707 "CRYAB, FOS, PPP1R15A, DUSP1, EGR1, JUN, ANXA1"
"GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.000152474761815304 "HMOX1, FOS, PPP1R15A, JUN, ADM, FOSL1, ITGA2, MAP1LC3B, G6PD"
"GO_POSITIVE_REGULATION_OF_CELL_DEATH" 9.36240833687352e-06 "PPP1R15A, DUSP1, CTGF, JUN, ADM, FOSL1, GADD45B, CYR61, DEDD2, ANXA1, OSGIN1, SQSTM1"
"GO_PROTEIN_FOLDING" 0.000377085239391485 "HSPA6, HSPA1A, CRYAB, HSPA1B, BAG3, DNAJB1"
"GO_NEGATIVE_REGULATION_OF_CELL_DEATH" 1.94882762539842e-07 "HMOX1, HSPA1A, CRYAB, GCLM, PPP1R15A, DUSP1, HSPA1B, BAG3, CTGF, JUN, FHL2, CYR61, CLCF1, IL11, ANXA1, SQSTM1"
"GO_CELLULAR_RESPONSE_TO_HEAT" 1.69094541223225e-05 "HSPA6, HMOX1, HSPA1A, HSPA1B"
"GO_RESPONSE_TO_CARBOHYDRATE" 0.00710529577411202 "PPP1R15A, EGR1, CTGF, ITGA2"
"GO_RESPONSE_TO_LIPID" 0.000371469526190362 "HMOX1, CRYAB, FOS, DUSP1, CTGF, JUN, ADM, FHL2, FOSL1, ITGA2, FOSB, ANXA1"
"GO_VASCULATURE_DEVELOPMENT" 0.00504637733284451 "HMOX1, EGR1, CTGF, JUN, ADM, FOSL1, CYR61"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 5.33269222665709e-11 "MT1X, MT1H, MT2A, MT1F, MT1G, MT1E"
"GO_RESPONSE_TO_ABIOTIC_STIMULUS" 3.17676927872224e-07 "HSPA6, HMOX1, HSPA1A, CRYAB, FOS, PPP1R15A, DUSP1, EGR1, HSPA1B, BAG3, CTGF, JUN, ADM, FOSL1, ITGA2, FOSB, ANXA1"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 8.5204224733948e-10 "MT1X, MT1H, MT2A, MT1F, MT1G, HMOX1, MT1E, FOS, JUN, FOSB"
"GO_MULTI_MULTICELLULAR_ORGANISM_PROCESS" 0.00271421816099672 "FOS, ADM, FOSL1, ITGA2, FOSB"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 9.82748531606731e-07 "MT1X, MT1H, MT2A, MT1F, MT1G, MT1E, CRYAB, OSGIN1, SQSTM1"
"GO_RESPONSE_TO_TEMPERATURE_STIMULUS" 6.55365298888008e-05 "HSPA6, HMOX1, HSPA1A, FOS, HSPA1B, ADM"
"GO_RESPONSE_TO_DRUG" 0.000141090846477665 "MT2A, GCLM, FOS, PPP1R15A, JUN, FOSL1, ITGA2, FOSB, ANXA1"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS" 0.00015703226924251 "HSPA1A, CRYAB, PPP1R15A, HSPA1B, BAG3, CTGF, DNAJB1, GADD45B, MAP1LC3B, HSPB8, SQSTM1"
"GO_REGULATION_OF_NEURON_DEATH" 0.00575455006734578 "HMOX1, GCLM, JUN, CLCF1, G6PD"
"GO_REGULATION_OF_CELL_DEATH" 7.28539238785588e-10 "HMOX1, HSPA1A, CRYAB, GCLM, PPP1R15A, DUSP1, EGR1, HSPA1B, BAG3, CTGF, JUN, ADM, FHL2, FOSL1, GADD45B, CYR61, DEDD2, CLCF1, IL11, ANXA1, OSGIN1, G6PD, SQSTM1"
"GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS" 0.000340115189001099 "HMOX1, PPP1R15A, EGR1, JUN"
"GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS" 0.00899164880685303 "FOS, PPP1R15A, DUSP1, EGR1, CTGF, JUN, FHL2, ITGA2, FOSB, ANXA1"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION" 0.00990976840407218 "PPP1R15A, DUSP1, JUN, GADD45B, RGS2, MYADM"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 0.00979840123678429 "HSPA1A, CRYAB, PPP1R15A, DUSP1, HSPA1B, JUN, GADD45B, G6PD, RGS2, MYADM"
"GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION" 0.000929134142974664 "HMOX1, CTGF, ADM, RGS2"
"GO_REGULATION_OF_SEQUENCE_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY" 0.00518556399474723 "HMOX1, HSPA1A, FOS, HSPA1B, JUN, FOSL1"
"GO_RESPONSE_TO_MINERALOCORTICOID" 1.88761623149663e-05 "FOS, CTGF, FOSL1, FOSB"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 7.28539238785588e-10 "MT1X, MT1H, MT2A, MT1F, MT1G, HMOX1, MT1E, PPP1R15A, SLC30A1, SLC30A2"
"GO_RESPONSE_TO_TOXIC_SUBSTANCE" 0.00073878527509544 "SRXN1, FOS, PPP1R15A, TXNRD1, SLC30A1, SLC7A11"
"GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.000581004317078853 "HSPA1A, PPP1R15A, DUSP1, EGR1, HSPA1B, CTGF, JUN, GADD45B, CYR61, ITGA2, CLCF1, IL11, G6PD, RGS2, MYADM, SQSTM1"
"GO_PROTEIN_REFOLDING" 1.49804563164687e-06 "HSPA6, HSPA1A, HSPA1B, DNAJB1"
"GO_RESPONSE_TO_CADMIUM_ION" 3.91533288666463e-10 "MT1X, MT1H, MT1F, MT1G, HMOX1, MT1E, SLC30A1"
"GO_CELLULAR_RESPONSE_TO_STRESS" 0.00215170977348722 "HSPA6, HMOX1, HSPA1A, CRYAB, FOS, PPP1R15A, EGR1, HSPA1B, JUN, ADM, MAP1LC3B, ANXA1, G6PD, SQSTM1"
"GO_RESPONSE_TO_ALCOHOL" 4.27630450811085e-05 "CRYAB, FOS, DUSP1, CTGF, FOSL1, ITGA2, FOSB, ANXA1, G6PD"
"GO_NEGATIVE_REGULATION_OF_NEURON_DEATH" 0.00710529577411202 "HMOX1, GCLM, JUN, CLCF1"
"GO_RESPONSE_TO_OXIDATIVE_STRESS" 1.60671770031989e-10 "HMOX1, HSPA1A, CRYAB, GCLM, SRXN1, FOS, DUSP1, TXNRD1, HSPA1B, JUN, FOSL1, SLC7A11, ANXA1, G6PD"
"GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00920227538658944 "PPP1R15A, DUSP1, CTGF, JUN, ADM, GADD45B, CYR61, ITGA2, CLCF1, IL11, RGS2, MYADM, SQSTM1"
"GO_RESPONSE_TO_MECHANICAL_STIMULUS" 0.000450313975026206 "FOS, BAG3, JUN, FOSL1, ITGA2, FOSB"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.000975566139894693 "HSPA1A, PPP1R15A, DUSP1, HSPA1B, JUN, GADD45B, G6PD, RGS2, MYADM"
"GO_RESPONSE_TO_STARVATION" 0.0046946223681618 "PPP1R15A, JUN, ADM, MAP1LC3B"
"GO_RESPONSE_TO_PURINE_CONTAINING_COMPOUND" 0.000123178020585907 "FOS, PPP1R15A, DUSP1, JUN, FOSL1, FOSB"
"GO_TISSUE_DEVELOPMENT" 0.00202625740760319 "FOS, DUSP1, EGR1, TXNRD1, CTGF, JUN, ADM, FHL2, SLC7A11, CYR61, ITGA2, ANXA1, PALLD, MYADM"
"GO_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION" 0.00230775857387486 "HMOX1, HSPA1A, GCLM, PPP1R15A, DUSP1, EGR1, HSPA1B, ADM, SLC30A1, IL11, RGS2, MYADM"
"GO_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS" 0.000234454878944382 "HMOX1, HSPA1A, FOS, HSPA1B, ANXA1, G6PD"
"GO_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS" 0.00609961360190902 "CRYAB, PPP1R15A, EGR1, BAG3, ITGA2"
"GO_RESPONSE_TO_HYDROGEN_PEROXIDE" 1.27059463603944e-05 "HMOX1, CRYAB, DUSP1, JUN, FOSL1, ANXA1"
"GO_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM" 0.00642013378746924 "HMOX1, GCLM, ADM, RGS2"
"GO_RESPONSE_TO_CALCIUM_ION" 0.00203581290159707 "FOS, DUSP1, JUN, FOSB"
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES" 2.41796253950001e-06 "HMOX1, CRYAB, FOS, DUSP1, TXNRD1, JUN, FOSL1, ANXA1"
